T_B[K] T_C[K] T_D[K] Setpoint_B[K] Setpoint_C[K] Setpoint_D[K] Sensor_B[Ohm] Sensor_C[Ohm] Sensor_D[Ohm] CNT yyyy-mm-dd hh:mm:ss
70.01522000 0.00000000 0.00000000 70.00000000 0.00000000 0.00000000 235.4002000000 299.8980000000 66.8888000000 91 2024-01-10 23:32:58
71.01426000 0.00000000 0.00000000 71.00000000 0.00000000 0.00000000 232.6754000000 296.1080000000 66.4592000000 92 2024-01-10 23:36:55
72.00404000 0.00000000 0.00000000 72.00000000 0.00000000 0.00000000 230.0068000000 292.4140000000 66.0364000000 93 2024-01-10 23:40:25
73.01898000 0.00000000 0.00000000 73.00000000 0.00000000 0.00000000 227.3020000000 288.6660000000 65.6048000000 94 2024-01-10 23:43:59
74.01952000 0.00000000 0.00000000 74.00000000 0.00000000 0.00000000 224.6664000000 285.0220000000 65.1808000000 95 2024-01-10 23:47:31
75.01606000 0.00000000 0.00000000 75.00000000 0.00000000 0.00000000 222.0724000000 281.4520000000 64.7616000000 96 2024-01-10 23:51:19
76.01058000 0.00000000 0.00000000 76.00000000 0.00000000 0.00000000 219.6618000000 278.1300000000 64.3688000000 97 2024-01-10 23:54:40
77.01452000 0.00000000 0.00000000 77.00000000 0.00000000 0.00000000 217.2548000000 274.8200000000 63.9750000000 98 2024-01-10 23:58:03
78.01214000 0.00000000 0.00000000 78.00000000 0.00000000 0.00000000 214.8890000000 271.5720000000 63.5852000000 99 2024-01-11 00:01:39
78.99326000 0.00000000 0.00000000 79.00000000 0.00000000 0.00000000 212.5874000000 268.4300000000 63.2040000000 100 2024-01-11 00:05:13
80.01574000 0.00000000 0.00000000 80.00000000 0.00000000 0.00000000 210.2154000000 265.1700000000 62.8086000000 101 2024-01-11 00:08:37
81.02146000 0.00000000 0.00000000 81.00000000 0.00000000 0.00000000 208.0300000000 262.1820000000 62.4410000000 102 2024-01-11 00:12:08
82.01192000 0.00000000 0.00000000 82.00000000 0.00000000 0.00000000 205.9002000000 259.2740000000 62.0818000000 103 2024-01-11 00:15:35
83.00718000 0.00000000 0.00000000 83.00000000 0.00000000 0.00000000 203.7820000000 256.3880000000 61.7218000000 104 2024-01-11 00:19:05
84.00808000 0.00000000 0.00000000 84.00000000 0.00000000 0.00000000 201.6738000000 253.5120000000 61.3612000000 105 2024-01-11 00:22:41
85.01126000 0.00000000 0.00000000 85.00000000 0.00000000 0.00000000 199.5832000000 250.6780000000 61.0030000000 106 2024-01-11 00:26:02
86.00970000 0.00000000 0.00000000 86.00000000 0.00000000 0.00000000 197.6282000000 248.0140000000 60.6652000000 107 2024-01-11 00:29:26
87.00998000 0.00000000 0.00000000 87.00000000 0.00000000 0.00000000 195.6894000000 245.3820000000 60.3284000000 108 2024-01-11 00:32:46
88.01248000 0.00000000 0.00000000 88.00000000 0.00000000 0.00000000 193.7652000000 242.7780000000 59.9928000000 109 2024-01-11 00:36:05
89.00632000 0.00000000 0.00000000 89.00000000 0.00000000 0.00000000 191.8764000000 240.2296000000 59.6608000000 110 2024-01-11 00:39:25
90.00682000 0.00000000 0.00000000 90.00000000 0.00000000 0.00000000 189.9930000000 237.6882000000 59.3286000000 111 2024-01-11 00:42:41
91.00482000 0.00000000 0.00000000 91.00000000 0.00000000 0.00000000 188.2216000000 235.2938000000 59.0136000000 112 2024-01-11 00:46:02
92.01536000 0.00000000 0.00000000 92.00000000 0.00000000 0.00000000 186.4454000000 232.8946000000 58.6968000000 113 2024-01-11 00:49:25
93.00680000 0.00000000 0.00000000 93.00000000 0.00000000 0.00000000 184.7184000000 230.5714000000 58.3878000000 114 2024-01-11 00:52:45
94.00914000 0.00000000 0.00000000 94.00000000 0.00000000 0.00000000 182.9890000000 228.2436000000 58.0754000000 115 2024-01-11 00:56:00
94.99860000 0.00000000 0.00000000 95.00000000 0.00000000 0.00000000 181.2976000000 225.9728000000 57.7700000000 116 2024-01-11 00:59:13
96.01960000 0.00000000 0.00000000 96.00000000 0.00000000 0.00000000 179.6468000000 223.7502000000 57.4684000000 117 2024-01-11 01:02:33
97.00112000 0.00000000 0.00000000 97.00000000 0.00000000 0.00000000 178.0746000000 221.6472000000 57.1810000000 118 2024-01-11 01:05:47
97.98644000 0.00000000 0.00000000 98.00000000 0.00000000 0.00000000 176.5104000000 219.5532000000 56.8940000000 119 2024-01-11 01:09:08
98.99738000 0.00000000 0.00000000 99.00000000 0.00000000 0.00000000 174.9196000000 217.4204000000 56.6002000000 120 2024-01-11 01:12:21
100.00600000 0.00000000 0.00000000 100.00000000 0.00000000 0.00000000 173.3466000000 215.3152000000 56.3080000000 121 2024-01-11 01:15:30
104.99920000 0.00000000 0.00000000 105.00000000 0.00000000 0.00000000 166.2276000000 205.8374000000 54.9700000000 122 2024-01-11 01:19:28
110.02460000 0.00000000 0.00000000 110.00000000 0.00000000 0.00000000 159.3578000000 196.7152000000 53.6482000000 123 2024-01-11 01:26:44
115.01620000 0.00000000 0.00000000 115.00000000 0.00000000 0.00000000 153.3082000000 188.7188000000 52.4586000000 124 2024-01-11 01:34:17
120.02060000 0.00000000 0.00000000 120.00000000 0.00000000 0.00000000 147.4734000000 181.0522000000 51.2892000000 125 2024-01-11 01:40:33
125.01500000 0.00000000 0.00000000 125.00000000 0.00000000 0.00000000 142.2598000000 174.2202000000 50.2232000000 126 2024-01-11 01:47:03
130.01120000 0.00000000 0.00000000 130.00000000 0.00000000 0.00000000 137.2282000000 167.6514000000 49.1750000000 127 2024-01-11 01:54:46
135.00680000 0.00000000 0.00000000 135.00000000 0.00000000 0.00000000 132.6888000000 161.7474000000 48.2132000000 128 2024-01-11 02:01:23
140.02640000 0.00000000 0.00000000 140.00000000 0.00000000 0.00000000 128.2790000000 156.0294000000 47.2626000000 129 2024-01-11 02:07:47
145.02000000 0.00000000 0.00000000 145.00000000 0.00000000 0.00000000 124.2918000000 150.8774000000 46.3890000000 130 2024-01-11 02:14:15
150.02220000 0.00000000 0.00000000 150.00000000 0.00000000 0.00000000 120.4230000000 145.8880000000 45.5280000000 131 2024-01-11 02:20:38
155.01740000 0.00000000 0.00000000 155.00000000 0.00000000 0.00000000 116.8986000000 141.3636000000 44.7322000000 132 2024-01-11 02:26:58
160.01960000 0.00000000 0.00000000 160.00000000 0.00000000 0.00000000 113.4740000000 136.9702000000 43.9474000000 133 2024-01-11 02:33:11
165.00960000 0.00000000 0.00000000 165.00000000 0.00000000 0.00000000 110.3332000000 132.9536000000 43.2186000000 134 2024-01-11 02:39:32
170.01220000 0.00000000 0.00000000 170.00000000 0.00000000 0.00000000 107.2726000000 129.0512000000 42.4988000000 135 2024-01-11 02:45:48
175.01860000 0.00000000 0.00000000 175.00000000 0.00000000 0.00000000 104.4530000000 125.4608000000 41.8276000000 136 2024-01-11 02:53:17
180.01200000 0.00000000 0.00000000 180.00000000 0.00000000 0.00000000 101.7158000000 121.9862000000 41.1672000000 137 2024-01-11 02:59:31
185.01460000 0.00000000 0.00000000 185.00000000 0.00000000 0.00000000 99.1820000000 118.7766000000 40.5488000000 138 2024-01-11 03:05:43
190.01580000 0.00000000 0.00000000 190.00000000 0.00000000 0.00000000 96.7130000000 115.6578000000 39.9406000000 139 2024-01-11 03:11:48
195.02400000 0.00000000 0.00000000 195.00000000 0.00000000 0.00000000 94.4136000000 112.7582000000 39.3672000000 140 2024-01-11 03:17:58
200.00460000 0.00000000 0.00000000 200.00000000 0.00000000 0.00000000 92.1822000000 109.9464000000 38.8048000000 141 2024-01-11 03:24:01
205.01820000 0.00000000 0.00000000 205.00000000 0.00000000 0.00000000 90.0966000000 107.3266000000 38.2746000000 142 2024-01-11 03:29:58
210.00640000 0.00000000 0.00000000 210.00000000 0.00000000 0.00000000 88.0698000000 104.7858000000 37.7540000000 143 2024-01-11 03:35:54
215.00520000 0.00000000 0.00000000 215.00000000 0.00000000 0.00000000 86.1724000000 102.4084000000 37.2622000000 144 2024-01-11 03:41:46
219.99920000 0.00000000 0.00000000 220.00000000 0.00000000 0.00000000 84.3190000000 100.0928000000 36.7776000000 145 2024-01-11 03:47:38
225.00220000 0.00000000 0.00000000 225.00000000 0.00000000 0.00000000 82.5832000000 97.9274000000 36.3198000000 146 2024-01-11 03:53:30
229.99620000 0.00000000 0.00000000 230.00000000 0.00000000 0.00000000 80.8876000000 95.8180000000 35.8684000000 147 2024-01-11 03:59:21
234.98620000 0.00000000 0.00000000 235.00000000 0.00000000 0.00000000 79.3000000000 93.8486000000 35.4440000000 148 2024-01-11 04:05:03
